bytes_in,bytes_out,destination.bytes,source.bytes,network.bytes,event.duration,source.ip,destination.ip,source.port,network.packets,destination.port,attack
76.0,56.0,56.0,76.0,132.0,6400.0,10.10.10.10,10.10.10.30,53346.0,2,128.0,1.0
76.0,56.0,56.0,76.0,132.0,6680.0,10.10.10.10,10.10.10.30,53850.0,2,129.0,1.0
76.0,56.0,56.0,76.0,132.0,10060.0,10.10.10.10,10.10.10.30,58232.0,2,130.0,1.0
76.0,56.0,56.0,76.0,132.0,6520.0,10.10.10.10,10.10.10.30,44040.0,2,131.0,1.0
76.0,56.0,56.0,76.0,132.0,6370.0,10.10.10.10,10.10.10.30,53622.0,2,132.0,1.0
76.0,56.0,56.0,76.0,132.0,6480.0,10.10.10.10,10.10.10.30,36326.0,2,133.0,1.0
76.0,56.0,56.0,76.0,132.0,8700.0,10.10.10.10,10.10.10.30,51354.0,2,134.0,1.0
76.0,56.0,56.0,76.0,132.0,6350.0,10.10.10.10,10.10.10.30,42780.0,2,135.0,1.0
76.0,56.0,56.0,76.0,132.0,6160.0,10.10.10.10,10.10.10.30,54438.0,2,136.0,1.0
76.0,56.0,56.0,76.0,132.0,6289.0,10.10.10.10,10.10.10.30,55794.0,2,137.0,1.0
76.0,56.0,56.0,76.0,132.0,7310.0,10.10.10.10,10.10.10.30,50606.0,2,138.0,1.0
280.0,144.0,144.0,280.0,424.0,29710.0,10.10.10.10,10.10.10.30,41052.0,6,139.0,1.0
76.0,56.0,56.0,76.0,132.0,14510.0,10.10.10.10,10.10.10.30,46978.0,2,140.0,1.0
76.0,56.0,56.0,76.0,132.0,7550.0,10.10.10.10,10.10.10.30,52360.0,2,141.0,1.0
76.0,56.0,56.0,76.0,132.0,6400.0,10.10.10.10,10.10.10.30,41094.0,2,142.0,1.0
76.0,56.0,56.0,76.0,132.0,7490.0,10.10.10.10,10.10.10.30,57368.0,2,143.0,1.0
76.0,56.0,56.0,76.0,132.0,6420.0,10.10.10.10,10.10.10.30,41296.0,2,144.0,1.0
76.0,56.0,56.0,76.0,132.0,6360.0,10.10.10.10,10.10.10.30,43270.0,2,145.0,1.0
76.0,56.0,56.0,76.0,132.0,6430.0,10.10.10.10,10.10.10.30,42002.0,2,146.0,1.0
76.0,56.0,56.0,76.0,132.0,6210.0,10.10.10.10,10.10.10.30,58256.0,2,147.0,1.0
76.0,56.0,56.0,76.0,132.0,6530.0,10.10.10.10,10.10.10.30,40364.0,2,148.0,1.0
76.0,56.0,56.0,76.0,132.0,6490.0,10.10.10.10,10.10.10.30,53364.0,2,149.0,1.0
76.0,56.0,56.0,76.0,132.0,6310.0,10.10.10.10,10.10.10.30,42342.0,2,150.0,1.0
76.0,56.0,56.0,76.0,132.0,6370.0,10.10.10.10,10.10.10.30,41036.0,2,151.0,1.0
76.0,56.0,56.0,76.0,132.0,6230.0,10.10.10.10,10.10.10.30,50982.0,2,152.0,1.0
76.0,56.0,56.0,76.0,132.0,6310.0,10.10.10.10,10.10.10.30,49208.0,2,153.0,1.0
76.0,56.0,56.0,76.0,132.0,6290.0,10.10.10.10,10.10.10.30,40832.0,2,154.0,1.0
76.0,56.0,56.0,76.0,132.0,7440.0,10.10.10.10,10.10.10.30,50478.0,2,155.0,1.0
